CustomerID,Recency,Frequency,Monetary,Avg_Order_Value,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,Segment
14646,2,73,280206.01999999996,3838.438630136986,5,5,5,555,15,Champions
18102,1,60,259657.3,4327.621666666667,5,5,5,555,15,Champions
17450,8,46,194390.79,4225.886739130435,5,5,5,555,15,Champions
16446,1,2,168472.5,84236.25,5,3,5,535,13,Loyal Customers
14911,1,201,143711.17,714.980945273632,5,5,5,555,15,Champions
12415,24,21,124914.53,5948.310952380953,4,5,5,455,14,Champions
14156,10,55,117210.08,2131.0923636363636,5,5,5,555,15,Champions
17511,3,31,91062.38,2937.496129032258,5,5,5,555,15,Champions
16029,39,63,80850.84,1283.3466666666666,3,5,5,355,13,Loyal Customers
12346,326,1,77183.6,77183.6,1,1,5,115,7,Hibernating
16684,4,28,66653.56,2380.4842857142858,5,5,5,555,15,Champions
14096,4,17,65164.79,3833.2229411764706,5,5,5,555,15,Champions
13694,4,50,65039.62,1300.7924,5,5,5,555,15,Champions
15311,1,91,60632.75,666.2939560439561,5,5,5,555,15,Champions
13089,3,97,58762.08,605.7946391752578,5,5,5,555,15,Champions
17949,1,45,58510.48,1300.232888888889,5,5,5,555,15,Champions
15769,7,26,56252.72,2163.566153846154,5,5,5,555,15,Champions
15061,4,48,54534.14,1136.1279166666666,5,5,5,555,15,Champions
14298,8,44,51527.3,1171.075,5,5,5,555,15,Champions
14088,10,13,50491.81,3883.9853846153846,5,5,5,555,15,Champions
15749,235,3,44534.3,14844.766666666668,1,3,5,135,9,At Risk
12931,22,15,42055.96,2803.730666666667,4,5,5,455,14,Champions
17841,2,124,40519.84,326.77290322580643,5,5,5,555,15,Champions
15098,182,3,39916.5,13305.5,1,3,5,135,9,At Risk
13798,1,57,37153.85,651.8219298245614,5,5,5,555,15,Champions
16013,4,47,37130.6,790.0127659574467,5,5,5,555,15,Champions
16422,17,51,34684.4,680.086274509804,4,5,5,455,14,Champions
15838,11,19,33643.08,1770.6884210526316,5,5,5,555,15,Champions
12748,1,209,33053.19,158.14923444976077,5,5,5,555,15,Champions
17404,4,15,31906.82,2127.1213333333335,5,5,5,555,15,Champions
17389,1,34,31833.68,936.2847058823529,5,5,5,555,15,Champions
13098,1,28,28882.44,1031.5157142857142,5,5,5,555,15,Champions
14680,25,16,28754.11,1797.131875,4,5,5,455,14,Champions
13081,12,11,28337.38,2576.1254545454544,5,5,5,555,15,Champions
13408,2,62,28117.04,453.5006451612903,5,5,5,555,15,Champions
17857,4,23,26879.04,1168.6539130434783,5,5,5,555,15,Champions
16333,8,22,26626.8,1210.3090909090909,5,5,5,555,15,Champions
13777,1,33,25977.16,787.1866666666666,5,5,5,555,15,Champions
12753,23,6,21429.39,3571.565,4,5,5,455,14,Champions
12744,52,7,21279.29,3039.8985714285714,3,5,5,355,13,Loyal Customers
16210,2,18,21086.300000000003,1171.4611111111112,5,5,5,555,15,Champions
17675,1,31,20374.28,657.2348387096774,5,5,5,555,15,Champions
17381,9,29,20275.61,699.1589655172414,5,5,5,555,15,Champions
12471,2,30,19788.65,659.6216666666667,5,5,5,555,15,Champions
15039,10,47,19766.59,420.5657446808511,5,5,5,555,15,Champions
12731,24,12,18895.91,1574.6591666666666,4,5,5,455,14,Champions
15159,2,30,18641.010000000002,621.3670000000001,5,5,5,555,15,Champions
12901,9,28,17654.54,630.5192857142857,5,5,5,555,15,Champions
12678,42,12,17628.46,1469.0383333333332,3,5,5,355,13,Loyal Customers
14031,7,19,17286.86,909.8347368421053,5,5,5,555,15,Champions
17428,1,28,17256.85,616.3160714285714,5,5,5,555,15,Champions
13767,2,37,17220.36,465.41513513513513,5,5,5,555,15,Champions
13881,4,20,17159.52,857.976,5,5,5,555,15,Champions
16839,9,34,16594.35,488.06911764705876,5,5,5,555,15,Champions
12921,9,37,16587.09,448.29972972972973,5,5,5,555,15,Champions
17677,2,30,16345.380000000001,544.846,5,5,5,555,15,Champions
15189,1,41,16225.39,395.74121951219513,5,5,5,555,15,Champions
14607,16,14,16209.5,1157.8214285714287,4,5,5,455,14,Champions
15856,4,27,16143.64,597.9125925925925,5,5,5,555,15,Champions
14051,1,23,15610.390000000001,678.7126086956522,5,5,5,555,15,Champions
15513,33,19,14758.220000000001,776.7484210526317,4,5,5,455,14,Champions
16133,4,33,14589.04,442.09212121212124,5,5,5,555,15,Champions
14866,11,12,14389.9,1199.1583333333333,5,5,5,555,15,Champions
16705,1,20,14034.990000000002,701.7495000000001,5,5,5,555,15,Champions
12681,15,22,13787.539999999999,626.7063636363636,4,5,5,455,14,Champions
12621,2,20,13689.67,684.4835,5,5,5,555,15,Champions
12540,20,17,13400.24,788.2494117647059,4,5,5,455,14,Champions
12433,1,7,13375.87,1910.8385714285716,5,5,5,555,15,Champions
15498,3,27,13316.4,493.2,5,5,5,555,15,Champions
12477,23,6,13219.74,2203.29,4,4,5,445,13,Champions
17735,2,19,13110.02,690.001052631579,5,5,5,555,15,Champions
16525,2,26,13027.45,501.0557692307693,5,5,5,555,15,Champions
14258,9,9,12669.98,1407.7755555555555,5,5,5,555,15,Champions
13078,3,26,12627.94,485.69,5,5,5,555,15,Champions
12536,43,3,12601.830000000002,4200.610000000001,3,3,5,335,11,Loyal Customers
15640,4,15,12416.11,827.7406666666667,5,5,5,555,15,Champions
16000,3,3,12393.7,4131.233333333334,5,4,5,545,14,Champions
17340,30,11,12353.29,1123.0263636363636,4,5,5,455,14,Champions
12682,4,31,12279.82,396.1232258064516,5,5,5,555,15,Champions
13113,1,24,12245.96,510.2483333333333,5,5,5,555,15,Champions
14606,1,93,12076.15,129.8510752688172,5,5,5,555,15,Champions
12557,16,5,11990.960000000001,2398.192,4,4,5,445,13,Champions
12939,64,8,11581.8,1447.725,3,5,5,355,13,Loyal Customers
15125,25,15,11528.48,768.5653333333333,4,5,5,455,14,Champions
14194,5,21,11349.52,540.4533333333334,5,5,5,555,15,Champions
12971,4,86,11189.91,130.11523255813952,5,5,5,555,15,Champions
14895,8,20,11138.710000000001,556.9355,5,5,5,555,15,Champions
12409,79,3,11072.67,3690.89,2,3,5,235,10,At Risk
17581,1,25,11025.24,441.0096,5,5,5,555,15,Champions
15482,16,12,10879.76,906.6466666666666,4,5,5,455,14,Champions
13319,5,26,10845.55,417.1365384615384,5,5,5,555,15,Champions
17107,33,6,10797.48,1799.58,4,5,5,455,14,Champions
13340,45,7,10736.48,1533.782857142857,3,5,5,355,13,Loyal Customers
17139,16,12,10650.77,887.5641666666667,4,5,5,455,14,Champions
16779,2,22,10611.720000000001,482.35090909090917,5,5,5,555,15,Champions
17865,31,20,10526.32,526.316,4,5,5,455,14,Champions
